          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Boss Rush,MAXIMUM,18,EXCESSIVE COMPLETE,S,9991909,0,11,11,0,0
If,MAXIMUM,17,ULTIMATE CHAIN,S,9978540,0,3,3,1,0
infinite:youniverse,EXHAUST,14,ULTIMATE CHAIN,S,9996956,0,2,2,2,0
infinite:youniverse,MAXIMUM,17,ULTIMATE CHAIN,S,9991326,0,2,2,1,0
Immortal saga,EXHAUST,16,COMPLETE,AAA+,9869536,0,1,1,0,0
Immortal saga,MAXIMUM,19,EXCESSIVE COMPLETE,S,9900047,0,9,8,0,0
Fin.ArcDeaR,EXHAUST,18,EXCESSIVE COMPLETE,S,9977352,6375,11,8,0,0
Fin.ArcDeaR,MAXIMUM,19,EXCESSIVE COMPLETE,S,9932994,7088,17,15,0,0
HE4VEN ～天国へようこそ～,EXHAUST,17,EXCESSIVE COMPLETE,S,9956191,0,13,10,0,0
HE4VEN ～天国へようこそ～,MAXIMUM,20,EXCESSIVE COMPLETE,AAA+,9818342,6934,67,62,0,0
Make Magic,EXHAUST,16,EXCESSIVE COMPLETE,S,9986595,0,4,3,0,0
Make Magic,MAXIMUM,18,EXCESSIVE COMPLETE,S,9972592,7504,9,4,0,0
ケムマキunderground,EXHAUST,15,ULTIMATE CHAIN,S,9990118,0,1,1,1,0
ケムマキunderground,MAXIMUM,17,PERFECT,S,10000000,0,29,28,6,1
デュアルメモリ,EXHAUST,14,PERFECT,S,10000000,0,2,2,1,1
デュアルメモリ,MAXIMUM,17,PERFECT,S,10000000,0,7,7,1,1
Sakura Mirage -Drum'n World-,EXHAUST,14,PERFECT,S,10000000,0,2,2,1,1
Sakura Mirage -Drum'n World-,MAXIMUM,17,ULTIMATE CHAIN,S,9997501,0,16,16,2,0
準備運動,EXHAUST,15,ULTIMATE CHAIN,S,9972299,0,1,1,1,0
準備運動,MAXIMUM,18,EXCESSIVE COMPLETE,S,9942229,0,9,9,0,0
Rebuilding of Paradise Lost,MAXIMUM,17,EXCESSIVE COMPLETE,S,9992668,0,2,2,0,0
黎明スケッチブック,MAXIMUM,17,EXCESSIVE COMPLETE,S,9978281,0,4,3,0,0
ドリームエンド・サバイバー,MAXIMUM,18,ULTIMATE CHAIN,S,9995258,0,7,7,3,0
キュリオシティ,MAXIMUM,18,EXCESSIVE COMPLETE,S,9929800,0,6,6,0,0
Noisy Minority,EXHAUST,16,COMPLETE,S,9936555,0,1,1,0,0
Noisy Minority,MAXIMUM,18,ULTIMATE CHAIN,S,9992750,6510,26,21,1,0
3y3s (JMBS FUNKOT RMX),EXHAUST,14,ULTIMATE CHAIN,S,9989525,0,4,4,2,0
3y3s (JMBS FUNKOT RMX),MAXIMUM,17,ULTIMATE CHAIN,S,9994895,0,30,29,2,0
Aragami,MAXIMUM,17,ULTIMATE CHAIN,S,9965568,0,6,6,1,0
Alice Maestera feat. nomico,EXHAUST,10,PERFECT,S,10000000,0,2,2,0,1
インビジブル,EXHAUST,14,PERFECT,S,10000000,0,3,3,2,1
インビジブル,MAXIMUM,17,ULTIMATE CHAIN,S,9993935,0,8,8,4,0
裏表ラバーズ,EXHAUST,12,PERFECT,S,10000000,0,1,1,0,1
裏表ラバーズ,MAXIMUM,16,ULTIMATE CHAIN,S,9993527,0,7,7,3,0
永遠に幸せになる方法、見つけました。,MAXIMUM,18,COMPLETE,AA+,9688473,0,1,1,0,0
EDEN of TRUTH,MAXIMUM,17,EXCESSIVE COMPLETE,S,9988719,0,3,3,0,0
朧 (kamome sano remix),EXHAUST,14,EXCESSIVE COMPLETE,S,9991856,0,2,2,0,0
JUGGLE,EXHAUST,14,COMPLETE,S,9978632,0,2,2,0,0
JUGGLE,MAXIMUM,17,EXCESSIVE COMPLETE,S,9980456,0,10,9,0,0
JULIAN,MAXIMUM,17,PERFECT,S,10000000,5114,9,9,4,1
水槽のクジラ,MAXIMUM,17,ULTIMATE CHAIN,S,9997575,0,12,12,1,0
千本桜,EXHAUST,10,PERFECT,S,10000000,0,2,2,0,1
千本桜,MAXIMUM,15,PERFECT,S,10000000,0,6,6,2,1
零の位相,MAXIMUM,17,EXCESSIVE COMPLETE,S,9956747,0,2,2,0,0
Dharma,EXHAUST,15,PERFECT,S,10000000,0,1,1,0,1
Dharma,MAXIMUM,17,ULTIMATE CHAIN,S,9990482,0,17,17,4,0
Chocolate Planet,EXHAUST,15,PERFECT,S,10000000,0,2,2,0,1
Chocolate Planet,MAXIMUM,17,ULTIMATE CHAIN,S,9992008,0,25,22,4,0
TRICKL4SH 220,EXHAUST,16,PERFECT,S,10000000,0,5,5,3,1
TRICKL4SH 220,MAXIMUM,18,PERFECT,S,10000000,5707,45,43,0,1
Dreadnought,MAXIMUM,18,EXCESSIVE COMPLETE,S,9922131,0,10,9,0,0
New Game feat.Mayumi Morinaga,EXHAUST,11,PERFECT,S,10000000,0,1,1,0,1
HiGHER,MAXIMUM,16,ULTIMATE CHAIN,S,9997317,0,19,17,3,0
Four Leaves,MAXIMUM,17,ULTIMATE CHAIN,S,9991662,0,19,17,4,0
Heavenly Adventure,MAXIMUM,17,EXCESSIVE COMPLETE,S,9940227,0,2,2,0,0
HEAVENLY SMILE,MAXIMUM,17,PERFECT,S,10000000,0,23,21,8,1
bass 2 bass [Tracy vs. Astronomical Remix],MAXIMUM,16,EXCESSIVE COMPLETE,S,9962508,0,2,2,0,0
Poppin' Shower,MAXIMUM,16,PERFECT,S,10000000,0,7,7,1,1
焔 -MAGMA-,MAXIMUM,17,EXCESSIVE COMPLETE,S,9985133,0,4,4,0,0
LOVE EAST,MAXIMUM,15,PERFECT,S,10000000,0,13,12,7,2
Solar Storm,EXHAUST,18,COMPLETE,AAA+,9892300,0,3,1,0,0
{albus},EXHAUST,17,EXCESSIVE COMPLETE,S,9950248,0,4,4,0,0
いつかの夢、またねの約束。,EXHAUST,14,PERFECT,S,10000000,0,1,1,0,1
#Endroll,EXHAUST,18,COMPLETE,AA+,9643527,0,1,1,0,0
Quaint Echo,EXHAUST,18,EXCESSIVE COMPLETE,S,9972609,6333,19,19,0,0
Zero-Day Exploit,EXHAUST,17,EXCESSIVE COMPLETE,S,9976562,0,5,3,0,0
ヒミツダイヤル,EXHAUST,15,PERFECT,S,10000000,0,1,1,0,1
ヒミツダイヤル,VIVID,17,EXCESSIVE COMPLETE,S,9985018,0,2,2,0,0
Metamorphobia,EXHAUST,17,EXCESSIVE COMPLETE,S,9930429,0,2,2,0,0
REGALIA,EXHAUST,17,ULTIMATE CHAIN,S,9990291,0,5,5,1,0
JOMANDA,EXHAUST,17,ULTIMATE CHAIN,S,9977352,0,4,4,1,0
極圏,EXHAUST,18,COMPLETE,AAA+,9885214,0,5,4,0,0
極圏,HEAVENLY,19,EXCESSIVE COMPLETE,S,9958649,0,16,15,0,0
アルティメットトゥルース -Phantasm-,EXHAUST,18,EXCESSIVE COMPLETE,S,9943609,0,4,4,0,0
Issen,EXHAUST,15,PERFECT,S,10000000,0,12,12,0,4
Clash of swords,EXHAUST,17,EXCESSIVE COMPLETE,S,9955567,0,1,1,0,0
東方妖々夢 ULTIMATE MEDLEY,EXHAUST,18,PERFECT,S,10000000,7078,41,38,8,1
IKAROS DYNAMITE!!!!,EXHAUST,18,ULTIMATE CHAIN,S,9993303,6801,57,56,3,0
Emperor's Divide,EXHAUST,17,EXCESSIVE COMPLETE,S,9987493,0,9,9,0,0
cross the future,EXHAUST,17,PERFECT,S,10000000,0,3,3,1,1
GEOMETRIA,EXHAUST,18,COMPLETE,AAA+,9849673,0,2,2,0,0
絶対零度,EXHAUST,18,ULTIMATE CHAIN,S,9987493,0,30,30,1,0
↓↓↓,EXHAUST,18,EXCESSIVE COMPLETE,S,9967248,0,10,10,0,0
Prayer,EXHAUST,18,EXCESSIVE COMPLETE,S,9963484,0,4,4,0,0
バイナリスター,EXHAUST,13,PERFECT,S,10000000,0,2,2,0,1
そして紫の幻想曲は全てを受け入れる,EXHAUST,17,ULTIMATE CHAIN,S,9982068,0,3,3,1,0
ANTI THE∞HOLiC,EXHAUST,17,PERFECT,S,10000000,0,18,17,5,1
０=Xerostrumental=,EXHAUST,17,EXCESSIVE COMPLETE,S,9942389,0,3,3,0,0
Halcyon,EXHAUST,17,EXCESSIVE COMPLETE,S,9985104,0,10,10,0,0
FLügeL《Λrp:ΣggyØ》,EXHAUST,18,ULTIMATE CHAIN,S,9919275,0,3,3,1,0
FLügeL《Λrp:ΣggyØ》,GRAVITY,19,EXCESSIVE COMPLETE,AAA+,9838902,7416,12,12,0,0
Angelic Jelly,EXHAUST,16,PERFECT,S,10000000,0,2,2,1,1
Angelic Jelly,GRAVITY,18,EXCESSIVE COMPLETE,S,9946980,0,6,4,0,0
Grand Chariot,EXHAUST,16,PLAYED,S,9933073,0,1,0,0,0
Grand Chariot,GRAVITY,17,ULTIMATE CHAIN,S,9995066,0,23,21,5,0
StrayedCatz,EXHAUST,15,ULTIMATE CHAIN,S,9975317,0,1,1,1,0
StrayedCatz,GRAVITY,17,EXCESSIVE COMPLETE,S,9942929,0,2,2,0,0
Sephirot,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
Sephirot,GRAVITY,17,COMPLETE,S,9977635,0,1,1,0,0
ZEPHYRANTHES,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
ZEPHYRANTHES,GRAVITY,17,PERFECT,S,10000000,0,7,7,2,1
DIABLOSIS::Nāga,EXHAUST,17,EXCESSIVE COMPLETE,S,9965886,0,15,14,0,0
DIABLOSIS::Nāga,GRAVITY,19,EXCESSIVE COMPLETE,S,9908158,0,16,13,0,0
Triple Counter,EXHAUST,17,PERFECT,S,10000000,0,8,8,2,1
Triple Counter,GRAVITY,18,EXCESSIVE COMPLETE,S,9978498,0,12,12,0,0
NEO TREASON,EXHAUST,16,ULTIMATE CHAIN,S,9975424,0,1,1,1,0
NEO TREASON,GRAVITY,18,EXCESSIVE COMPLETE,S,9984356,0,15,12,0,0
Lord=Crossight,EXHAUST,17,EXCESSIVE COMPLETE,S,9941417,0,4,4,0,0
Lord=Crossight,GRAVITY,19,EXCESSIVE COMPLETE,S,9903394,0,11,10,0,0
Voynich:Manuscript,EXHAUST,17,ULTIMATE CHAIN,S,9964654,0,8,6,1,0
Completeness Under Incompleteness,EXHAUST,16,EXCESSIVE COMPLETE,S,9978958,0,1,1,0,0
Completeness Under Incompleteness,GRAVITY,18,PLAYED,AAA+,9886574,0,1,0,0,0
The End of War,EXHAUST,17,ULTIMATE CHAIN,S,9992435,6334,9,9,2,0
Celestial stinger,GRAVITY,18,EXCESSIVE COMPLETE,S,9911111,0,2,2,0,0
B.B.K.K.B.K.K.,EXHAUST,17,EXCESSIVE COMPLETE,S,9983370,5050,20,20,0,0
akasha-assembly,EXHAUST,17,EXCESSIVE COMPLETE,S,9990642,0,2,2,0,0
ウエンレラの氷華,GRAVITY,17,EXCESSIVE COMPLETE,S,9952092,0,1,1,0,0
Ok!! Hug Me,GRAVITY,18,COMPLETE,S,9957436,0,3,3,0,0
Never Let It End,EXHAUST,13,PERFECT,S,10000000,3472,1,1,0,1
Paradission,EXHAUST,17,EXCESSIVE COMPLETE,S,9984643,0,4,3,0,0
Lo-Fi-M,EXHAUST,16,PERFECT,S,10000000,0,5,5,0,1
ゲキツイムラサ,EXHAUST,17,EXCESSIVE COMPLETE,S,9971719,0,5,4,0,0
Discover the Life,EXHAUST,16,ULTIMATE CHAIN,S,9997194,0,1,1,1,0
Get back here,GRAVITY,17,ULTIMATE CHAIN,S,9987881,0,15,15,2,0
Time to Air -Fly High Remix-,EXHAUST,17,ULTIMATE CHAIN,S,9997533,6633,30,30,5,0
Deadly Dolly Dance,EXHAUST,17,EXCESSIVE COMPLETE,S,9959795,0,3,3,0,0
Ultimate Ascension,EXHAUST,18,ULTIMATE CHAIN,S,9992927,6661,39,38,1,0
UROBØROS,EXHAUST,17,EXCESSIVE COMPLETE,S,9946714,0,3,3,0,0
雪月花 -さわわRemix-,EXHAUST,17,EXCESSIVE COMPLETE,S,9981549,0,12,12,0,0
Help me， ERINNNNNN!! -Cranky remix-,EXHAUST,17,EXCESSIVE COMPLETE,S,9919756,0,1,1,0,0
Mind Mapping (hard liquid remix),EXHAUST,15,ULTIMATE CHAIN,S,9993434,0,1,1,1,0
Apex of the World,EXHAUST,17,ULTIMATE CHAIN,S,9996659,0,4,4,3,0
Endless GRAVITY,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9826343,0,4,4,0,0
侍Annihilate!!,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9893221,0,2,2,0,0
CENSORED!!,EXHAUST,17,PERFECT,S,10000000,0,29,28,1,1
Destroy,EXHAUST,16,PERFECT,S,10000000,0,6,6,1,1
Destroy,GRAVITY,17,PERFECT,S,10000000,0,26,26,1,1
ブチアゲドクター☆ハイテッコ三姉妹,EXHAUST,15,PERFECT,S,10000000,0,2,2,0,1
relegation grimoire,EXHAUST,14,PERFECT,S,10000000,0,12,12,5,2
恋繋エピローグ,EXHAUST,15,ULTIMATE CHAIN,S,9985528,0,1,1,1,0
断罪は遍く人間の元に,EXHAUST,17,ULTIMATE CHAIN,S,9982300,0,2,1,1,0
アキネイション,EXHAUST,17,EXCESSIVE COMPLETE,S,9971031,0,9,9,0,0
The star in eclipse,EXHAUST,17,EXCESSIVE COMPLETE,S,9993153,0,11,9,0,0
Din Don Dan (Fusion Remix),EXHAUST,16,ULTIMATE CHAIN,S,9993891,0,2,2,2,0
Dualive,EXHAUST,17,ULTIMATE CHAIN,S,9995129,0,26,26,5,0
GO BACK 2 YOUR RAVE,EXHAUST,16,ULTIMATE CHAIN,S,9991482,0,3,3,3,0
カタルシスの月,EXHAUST,16,PERFECT,S,10000000,0,1,1,0,1
黒髪乱れし修羅となりて～凛 edition～,EXHAUST,17,EXCESSIVE COMPLETE,S,9968051,0,6,6,0,0
人形裁判 -THIRD IMPACT-,EXHAUST,17,ULTIMATE CHAIN,S,9987639,0,19,19,4,0
Parousia,EXHAUST,17,EXCESSIVE COMPLETE,S,9990324,0,11,11,0,0
archive::zip,GRAVITY,16,PERFECT,S,10000000,0,3,3,1,1
Inixia,GRAVITY,17,ULTIMATE CHAIN,S,9988874,7200,10,10,1,0
Virtual Bit,EXHAUST,17,ULTIMATE CHAIN,S,9986876,0,12,12,1,0
ERROR CODE,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
ERROR CODE,GRAVITY,16,PERFECT,S,10000000,0,6,6,0,1
XROSS THE XOUL,GRAVITY,18,EXCESSIVE COMPLETE,S,9973800,0,22,22,0,0
S1CK_F41RY,EXHAUST,17,EXCESSIVE COMPLETE,S,9976703,0,3,3,0,0
Russet,EXHAUST,16,PERFECT,S,10000000,0,9,9,0,1
Renegade Fruits,EXHAUST,16,PERFECT,S,10000000,0,3,3,1,1
Renegade Fruits,GRAVITY,18,ULTIMATE CHAIN,S,9990031,7775,24,24,1,0
She is my wife,EXHAUST,16,ULTIMATE CHAIN,S,9992458,0,2,2,2,0
お嫁にしなさいっ！,EXHAUST,15,ULTIMATE CHAIN,S,9993564,0,2,2,1,0
響縁,EXHAUST,16,ULTIMATE CHAIN,S,9997101,0,2,2,1,0
Enigma,EXHAUST,17,ULTIMATE CHAIN,S,9982748,0,28,27,2,0
MG277,EXHAUST,18,EXCESSIVE COMPLETE,S,9936635,0,14,14,0,0
Never Fails,EXHAUST,17,EXCESSIVE COMPLETE,S,9986218,0,5,5,0,0
Fox4-Raize-,EXHAUST,18,EXCESSIVE COMPLETE,S,9927025,0,15,14,0,0
Follow Up,EXHAUST,17,ULTIMATE CHAIN,S,9981378,0,13,13,1,0
REVOLVER,EXHAUST,18,EXCESSIVE COMPLETE,S,9963768,0,26,25,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,EXHAUST,18,EXCESSIVE COMPLETE,S,9946051,0,23,23,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,GRAVITY,19,COMPLETE,AAA,9748069,0,5,5,0,0
しゅわスパ大作戦☆ (カシオれ！くーにゃんリミックス),EXHAUST,16,EXCESSIVE COMPLETE,S,9929078,0,1,1,0,0
チルノとまりおのパーフェクトさんすう教室,EXHAUST,17,EXCESSIVE COMPLETE,S,9949735,0,9,9,0,0
Demise Quartet,EXHAUST,18,EXCESSIVE COMPLETE,S,9967974,0,17,16,0,0
Help me， ERINNNNNN!! - SH Style -,EXHAUST,13,PERFECT,S,10000000,0,3,3,2,1
Help me， CODYYYYYY!!,GRAVITY,16,ULTIMATE CHAIN,S,9996847,0,11,11,1,0
Ultimate Fury,EXHAUST,16,COMPLETE,S,9959514,0,1,1,0,0
JEHANNEDARC,EXHAUST,18,ULTIMATE CHAIN,S,9992914,6984,30,30,1,0
spectroscape,EXHAUST,16,COMPLETE,S,9943317,0,1,1,0,0
常夏！！クリスタライズ・シャーベット,EXHAUST,17,EXCESSIVE COMPLETE,S,9947152,0,9,9,0,0
伐折羅-vajra-,EXHAUST,18,ULTIMATE CHAIN,S,9995751,7114,29,27,2,0
アナーキーインザ夕景,EXHAUST,16,EXCESSIVE COMPLETE,S,9981382,0,2,2,0,0
キズナ,EXHAUST,13,PERFECT,S,10000000,0,5,5,1,2
「ここなつ☆」は夢のカタチ,EXHAUST,16,ULTIMATE CHAIN,S,9996863,0,15,15,6,0
Finally Dive,EXHAUST,15,PERFECT,S,10000000,0,3,3,0,1
モラトリアムノオト,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
End to end,EXHAUST,18,EXCESSIVE COMPLETE,S,9916387,0,11,9,0,0
EMPIRE OF FLAME,EXHAUST,18,EXCESSIVE COMPLETE,S,9950000,0,24,20,0,0
Candy Colored Hearts,EXHAUST,17,EXCESSIVE COMPLETE,S,9972647,0,6,4,0,0
雲の彼方,EXHAUST,17,ULTIMATE CHAIN,S,9984793,0,5,3,1,0
NEO GRAVITY,EXHAUST,18,ULTIMATE CHAIN,S,9975961,0,18,18,1,0
Lachryma《Re:Queen’M》,EXHAUST,18,EXCESSIVE COMPLETE,S,9966711,7202,19,19,0,0
Lachryma《Re:Queen’M》,GRAVITY,20,EXCESSIVE COMPLETE,AAA+,9881500,8804,62,51,0,0
VOLTEXES,EXHAUST,15,PERFECT,S,10000000,0,2,2,1,1
VOLTEXES II,EXHAUST,15,COMPLETE,S,9927862,0,1,1,0,0
VOLTEXES III,EXHAUST,16,EXCESSIVE COMPLETE,S,9981732,0,3,3,0,0
激アツ☆マジヤバ☆チアガール,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
漆黒のスペシャルプリンセスサンデー,EXHAUST,17,ULTIMATE CHAIN,S,9995527,0,11,11,4,0
地方創生☆チクワクティクス,EXHAUST,15,ULTIMATE CHAIN,S,9965490,0,2,2,1,0
フラッター現象の顛末と単一指向性の感情論,EXHAUST,15,PERFECT,S,10000000,0,7,7,3,1
Aliquam,EXHAUST,17,EXCESSIVE COMPLETE,S,9977491,0,12,11,0,0
XHAOS JUDGE,EXHAUST,18,EXCESSIVE COMPLETE,S,9972727,0,30,27,0,0
conflict,EXHAUST,17,ULTIMATE CHAIN,S,9989893,0,15,14,1,0
Stleq,EXHAUST,17,ULTIMATE CHAIN,S,9997532,0,17,17,5,0
Never Ending,EXHAUST,15,ULTIMATE CHAIN,S,9991384,5013,8,8,3,0
Nofram,EXHAUST,17,ULTIMATE CHAIN,S,9981152,0,12,10,1,0
冥天・ヘメロカリス,EXHAUST,18,ULTIMATE CHAIN,S,9992343,0,20,20,2,0
コンフェイト＊コンチェルト,EXHAUST,14,PERFECT,S,10000000,0,9,9,4,1
千客万来☆無問題！,EXHAUST,16,ULTIMATE CHAIN,S,9987745,0,5,5,1,0
ムラサキグルマ,EXHAUST,18,EXCESSIVE COMPLETE,S,9971791,5552,23,23,0,0
闇夜舞踏会 -緋碧と蝶のためのmasquerade-,EXHAUST,16,ULTIMATE CHAIN,S,9997062,0,11,11,1,0
Asian Chip City,EXHAUST,16,ULTIMATE CHAIN,S,9993514,0,10,10,3,0
About me,EXHAUST,15,ULTIMATE CHAIN,S,9995674,0,10,10,4,0
Angels And Demons,EXHAUST,18,EXCESSIVE COMPLETE,S,9932848,0,5,5,0,0
Oriental Blossom,EXHAUST,16,COMPLETE,S,9927641,0,2,2,0,0
我楽多イノセンス,EXHAUST,16,PERFECT,S,10000000,0,9,9,0,1
CUTIE☆EX-DREAM,EXHAUST,17,ULTIMATE CHAIN,S,9994397,0,19,17,4,0
君がいる場所へ,EXHAUST,13,PERFECT,S,10000000,0,2,2,0,2
The setting sun,EXHAUST,17,EXCESSIVE COMPLETE,S,9989788,0,12,12,0,0
Seraphim,EXHAUST,18,EXCESSIVE COMPLETE,S,9943452,0,8,8,0,0
ダブルラリアット,EXHAUST,15,PERFECT,S,10000000,0,1,1,0,1
twilight signal,EXHAUST,15,PERFECT,S,10000000,0,4,4,2,1
ドゥンガドゥンガ狂詩曲,EXHAUST,16,PERFECT,S,10000000,0,8,8,4,1
ハッピーシンセサイザ,EXHAUST,13,PERFECT,S,10000000,0,4,4,1,1
Backflow,EXHAUST,17,PERFECT,S,10000000,0,9,9,1,1
Beyond the Sandstorm,EXHAUST,16,COMPLETE,S,9979541,0,1,1,0,0
Pieces of a Dream,EXHAUST,17,ULTIMATE CHAIN,S,9986025,0,8,8,1,0
Pet Peeve,EXHAUST,17,EXCESSIVE COMPLETE,S,9928315,0,27,27,0,0
Mayohiga Spurt,EXHAUST,17,EXCESSIVE COMPLETE,S,9986673,0,17,17,0,0
みくみくにしてあげる♪【してやんよ】,EXHAUST,15,PERFECT,S,10000000,0,2,2,1,1
メランコリック,EXHAUST,13,ULTIMATE CHAIN,S,9995507,0,2,2,1,0
Utopia,EXHAUST,16,COMPLETE,S,9994680,0,2,2,0,0
月光乱舞,EXHAUST,18,EXCESSIVE COMPLETE,S,9953917,0,28,24,0,0
月光乱舞,GRAVITY,19,EXCESSIVE COMPLETE,S,9982324,6883,34,31,0,0
continew,EXHAUST,17,EXCESSIVE COMPLETE,S,9954827,0,6,6,0,0
ちぇいす いん ざ さんしゃいん！！！,EXHAUST,16,ULTIMATE CHAIN,S,9997136,0,1,1,1,0
FAKE STYLE II,EXHAUST,15,PERFECT,S,10000000,0,31,31,12,5
Blacksphere,EXHAUST,16,EXCESSIVE COMPLETE,S,9980494,0,13,13,0,0
Le ××××,EXHAUST,15,EXCESSIVE COMPLETE,S,9937759,0,1,1,0,0
ショットガン・ラヴァーズ,EXHAUST,16,EXCESSIVE COMPLETE,S,9956653,0,2,2,0,0
じゅーじゅー♥焼肉の火からフェニックス！？～再誕の†炭火焼き～,EXHAUST,17,EXCESSIVE COMPLETE,S,9984802,0,14,14,0,0
HAELE III ~Angel Worlds~,EXHAUST,15,PERFECT,S,10000000,0,4,4,1,1
HAELE III ~Angel Worlds~,GRAVITY,18,ULTIMATE CHAIN,S,9960646,0,31,28,1,0
ドーパミン,EXHAUST,18,EXCESSIVE COMPLETE,S,9975272,6901,28,28,0,0
crêpe suzette,EXHAUST,16,PERFECT,S,10000000,0,5,4,1,1
Shiawase Transmission,EXHAUST,16,PERFECT,S,10000000,0,6,6,1,2
双翼 - Black Wings - SDVX Edit. -,EXHAUST,16,COMPLETE,S,9960199,0,1,1,0,0
星の器 feat. らっぷびと,EXHAUST,16,EXCESSIVE COMPLETE,S,9959579,0,3,3,0,0
三つ数えろ,EXHAUST,16,EXCESSIVE COMPLETE,S,9987995,0,8,8,0,0
Lucky*Clover,EXHAUST,17,ULTIMATE CHAIN,S,9994623,0,14,14,3,0
マサカリブレイド,EXHAUST,18,EXCESSIVE COMPLETE,S,9980306,0,47,44,0,0
Garakuta Doll Play,EXHAUST,17,EXCESSIVE COMPLETE,S,9968632,0,17,15,0,0
Garakuta Doll Play,HEAVENLY,18,EXCESSIVE COMPLETE,S,9963256,0,27,27,0,0
きたさいたま2000,EXHAUST,18,ULTIMATE CHAIN,S,9985540,0,21,21,1,0
きたさいたま2000,HEAVENLY,19,EXCESSIVE COMPLETE,S,9919354,0,4,4,0,0
Got more raves？,EXHAUST,17,EXCESSIVE COMPLETE,S,9914248,0,6,6,0,0
Got more raves？,HEAVENLY,19,EXCESSIVE COMPLETE,S,9917023,0,5,5,0,0
FLOWER,EXHAUST,18,ULTIMATE CHAIN,S,9985578,0,11,10,1,0
FLOWER,HEAVENLY,19,EXCESSIVE COMPLETE,S,9962506,0,18,18,0,0
ちくわパフェだよ☆ＣＫＰ,EXHAUST,15,ULTIMATE CHAIN,S,9996998,0,15,15,3,0
ホーンテッド★メイドランチ,EXHAUST,17,ULTIMATE CHAIN,S,9993135,0,15,15,1,0
めうめうぺったんたん！！,EXHAUST,15,PERFECT,S,10000000,0,2,2,0,1
滅亡天使 † にこきゅっぴん,EXHAUST,16,EXCESSIVE COMPLETE,S,9972943,0,7,7,0,0
Warriors Aboot,EXHAUST,18,EXCESSIVE COMPLETE,S,9960691,0,12,8,0,0
Vampire's Territory,EXHAUST,17,ULTIMATE CHAIN,S,9956002,0,19,19,4,0
紅の剣舞,EXHAUST,17,EXCESSIVE COMPLETE,S,9977908,0,10,8,0,0
Shanghai Wu Long ～上海舞龍～,EXHAUST,17,EXCESSIVE COMPLETE,S,9932762,0,23,23,0,0
Sourire,EXHAUST,16,ULTIMATE CHAIN,S,9953271,0,1,1,1,0
ハナビラ:リンクス,EXHAUST,15,PERFECT,S,10000000,0,2,2,0,1
Firestorm,EXHAUST,18,EXCESSIVE COMPLETE,S,9959819,0,45,44,0,0
My name is TSUMABUKI,EXHAUST,14,PERFECT,S,10000000,0,6,6,2,1
ギャラクシィ・トラベラー,EXHAUST,14,EXCESSIVE COMPLETE,S,9954710,0,1,1,0,0
Starlight Dance Floor,EXHAUST,13,PERFECT,S,10000000,0,5,5,0,3
6弦とピアノのためのエチュード op.4,EXHAUST,16,COMPLETE,S,9925723,0,1,1,0,0
ECHO,EXHAUST,13,PERFECT,S,10000000,0,49,49,1,1
深海シティアンダーグラウンド,EXHAUST,16,PERFECT,S,10000000,0,11,11,2,1
eternita,EXHAUST,16,COMPLETE,S,9909377,0,1,1,0,0
消失,EXHAUST,18,EXCESSIVE COMPLETE,S,9968703,0,15,12,0,0
暴走,EXHAUST,17,EXCESSIVE COMPLETE,S,9946159,4424,9,9,0,0
夏色DIARY -Summer Dazzlin' Vacation miX-,EXHAUST,17,EXCESSIVE COMPLETE,S,9973806,0,9,8,0,0
夏色DIARY -Summer Dazzlin' Vacation miX-,GRAVITY,16,ULTIMATE CHAIN,S,9997659,0,6,6,4,0
ΑΩ,EXHAUST,18,EXCESSIVE COMPLETE,S,9984368,6809,23,20,0,0
ΑΩ,GRAVITY,19,EXCESSIVE COMPLETE,S,9912455,7813,33,29,0,0
veRtrageS,EXHAUST,18,EXCESSIVE COMPLETE,S,9983480,0,30,29,0,0
XyHATTE,EXHAUST,18,ULTIMATE CHAIN,S,9995176,6894,21,20,3,0
XyHATTE,GRAVITY,19,EXCESSIVE COMPLETE,S,9901960,7925,36,34,0,0
citrus,EXHAUST,15,PERFECT,S,10000000,0,5,5,1,1
Blastix Riotz,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9897051,0,17,15,0,0
Blastix Riotz,GRAVITY,19,EXCESSIVE COMPLETE,AAA+,9895369,7885,62,53,0,0
Preserved Valkyria,EXHAUST,18,ULTIMATE CHAIN,S,9980148,0,44,38,4,0
Preserved Valkyria,GRAVITY,19,EXCESSIVE COMPLETE,S,9966108,8140,42,41,0,0
Witch in Sweetsland,EXHAUST,17,ULTIMATE CHAIN,S,9982278,0,11,11,1,0
