          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
METATRON,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9805847,0,2,1,0,0
VVelcome!!,EXHAUST,18,EXCESSIVE COMPLETE,S,9954907,6247,3,3,0,0
VVelcome!!,MAXIMUM,20,COMPLETE,AA+,9644075,8035,13,6,0,0
†:OLPHEUX:†,MAXIMUM,19,EXCESSIVE COMPLETE,S,9901960,6625,5,3,0,0
GEMINI LA2ER,MAXIMUM,18,PLAYED,S,9931573,0,1,0,0,0
春告胡蝶,MAXIMUM,18,PLAYED,AAA+,9866730,0,1,0,0,0
ミュージックプレイヤー,MAXIMUM,18,PLAYED,S,9936350,0,1,0,0,0
LubedeR,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9862385,4915,5,1,0,0
Redshift 2nd Ignition,MAXIMUM,19,PLAYED,AAA+,9890087,7310,2,0,0,0
Яe:son D'être,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9860935,5448,2,1,0,0
おはようからおやすみまでかまってポメポメ,EXHAUST,16,ULTIMATE CHAIN,S,9996561,0,1,1,1,0
DEEP PSYCHEDELIC STRIKER,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9898132,0,1,1,0,0
POSSESSION(Gowrock Remix),MAXIMUM,17,ULTIMATE CHAIN,S,9996162,0,1,1,1,0
Re：Elemental Creation,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9817582,0,1,1,0,0
Daydream café (Euro Hopping Mix),MAXIMUM,16,EXCESSIVE COMPLETE,S,9992967,0,1,1,0,0
卑弥呼,EXHAUST,17,EXCESSIVE COMPLETE,S,9938568,0,1,1,0,0
卑弥呼,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9889462,8426,9,7,0,0
ふ・れ・ん・ど・し・た・い（WEREHEREMIX),MAXIMUM,17,ULTIMATE CHAIN,S,9993535,0,1,1,1,0
トマヨイ,VIVID,18,COMPLETE,S,9900990,5637,1,1,0,0
夢見草奇譚,ADVANCED,11,PERFECT,S,10000000,2901,1,1,0,1
夢見草奇譚,EXHAUST,14,PERFECT,S,10000000,4141,1,1,0,1
EGOISM -Rebuild-,MAXIMUM,17,ULTIMATE CHAIN,S,9997064,0,5,5,3,0
L9,MAXIMUM,18,EXCESSIVE COMPLETE,S,9936238,0,1,1,0,0
色を喪った街,EXHAUST,17,ULTIMATE CHAIN,S,9974059,0,1,1,1,0
色を喪った街,MAXIMUM,19,COMPLETE,AAA,9744701,0,3,1,0,0
Katharsis,MAXIMUM,18,PLAYED,AAA+,9836474,0,1,0,0,0
SAMURAI TIGER,MAXIMUM,18,PLAYED,AAA+,9840137,0,3,0,0,0
666,EXHAUST,18,EXCESSIVE COMPLETE,S,9953300,8713,7,6,0,0
666,MAXIMUM,20,COMPLETE,AAA+,9836265,10964,22,8,0,0
ZEИITH,MAXIMUM,18,PLAYED,AAA+,9847928,0,2,0,0,0
9TH5IN,MAXIMUM,19,EXCESSIVE COMPLETE,S,9909996,8506,5,4,0,0
ЯeviveR,MAXIMUM,19,COMPLETE,AAA+,9811472,0,6,2,0,0
Impress (bansou Remix),MAXIMUM,17,EXCESSIVE COMPLETE,S,9979228,0,2,2,0,0
ハレ トキドキ メランコリック,MAXIMUM,17,EXCESSIVE COMPLETE,S,9975272,0,2,1,0,0
ANGER of the GOD,MAXIMUM,19,COMPLETE,AAA+,9865858,0,3,2,0,0
